,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
398,마포구,201904,2.659574468,2.433090024,0.0,2.429149798,3.731343284,0.0,0.0,4.166666667,3.105590062,4.545454545,3.174603175,3.103448276,14.28571429,0.0,3.311258278,0.0
399,마포구,201905,2.659574468,2.554744526,0.0,2.834008097,2.985074627,0.0,0.0,4.166666667,2.48447205,0.0,1.587301587,3.103448276,0.0,0.0,3.046357616,0.0
400,마포구,201906,17.0212766,2.189781022,11.11111111,20.24291498,15.67164179,0.0,0.0,6.25,14.28571429,18.18181818,11.11111111,21.37931034,0.0,18.75,16.55629139,40.0
401,마포구,201907,3.191489362,2.798053528,0.0,2.834008097,2.985074627,20.0,0.0,0.0,5.590062112,0.0,4.761904762,4.137931034,0.0,0.0,1.986754967,0.0
402,마포구,201908,2.659574468,2.919708029,11.11111111,1.619433198,2.23880597,0.0,0.0,2.083333333,1.863354037,4.545454545,3.174603175,2.068965517,14.28571429,0.0,1.854304636,0.0
403,마포구,201909,3.191489362,4.136253041,0.0,2.024291498,5.223880597,0.0,0.0,2.083333333,1.863354037,4.545454545,6.349206349,2.413793103,0.0,0.0,3.178807947,0.0
404,마포구,201910,2.659574468,4.136253041,0.0,5.263157895,2.985074627,0.0,0.0,4.166666667,3.726708075,0.0,3.174603175,3.103448276,14.28571429,0.0,2.649006623,0.0
405,마포구,201911,2.127659574,2.311435523,0.0,2.834008097,3.731343284,0.0,0.0,8.333333333,1.863354037,0.0,1.587301587,1.724137931,0.0,6.25,2.516556291,0.0
406,마포구,201912,2.659574468,3.649635036,0.0,1.619433198,8.208955224,0.0,0.0,2.083333333,3.726708075,4.545454545,3.174603175,3.103448276,0.0,0.0,2.251655629,0.0
407,마포구,202001,2.659574468,1.946472019,0.0,3.238866397,2.23880597,0.0,0.0,6.25,3.105590062,4.545454545,3.174603175,3.103448276,0.0,0.0,2.516556291,0.0
429,서대문구,201902,5.147058824,5.202312139,0.0,8.571428571,6.730769231,0.0,0.0,6.666666667,2.083333333,10.60606061,3.571428571,4.137931034,0.0,20.0,6.277056277,0.0
430,서대문구,201903,8.823529412,2.89017341,16.66666667,2.857142857,8.653846154,0.0,0.0,6.666666667,2.083333333,15.15151515,7.142857143,4.827586207,0.0,0.0,6.277056277,50.0
431,서대문구,201904,9.558823529,5.202312139,16.66666667,25.71428571,4.807692308,0.0,0.0,0.0,4.166666667,12.12121212,3.571428571,6.896551724,0.0,40.0,8.441558442,0.0
432,서대문구,201905,4.411764706,4.046242775,0.0,2.857142857,1.923076923,0.0,25.0,0.0,2.083333333,0.0,7.142857143,2.75862069,0.0,0.0,2.597402597,0.0
