지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
광진구,202107,3,6,0,2,2,0,0,0,2,0,1,5,0,0,16,0
광진구,202108,2,5,1,1,2,0,0,0,2,2,2,1,0,0,8,1
광진구,202109,3,3,1,1,6,0,0,0,5,0,0,5,0,0,13,0
광진구,202110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
구로구,201902,0,2,1,0,1,0,0,0,1,0,4,1,0,1,7,0
구로구,201903,0,1,1,0,1,0,0,0,0,1,5,9,0,0,10,0
구로구,201904,0,3,0,0,1,0,0,0,0,0,3,8,0,0,12,1
구로구,201905,1,10,0,1,2,0,0,1,1,1,2,3,0,1,19,1
구로구,201906,0,0,1,0,6,0,0,0,1,0,0,9,0,2,18,0
구로구,201907,2,2,0,0,4,0,0,0,2,0,3,4,0,0,12,1
구로구,201908,1,1,0,0,1,0,0,0,4,0,6,6,0,0,12,0
구로구,201909,6,14,0,2,1,0,0,0,2,0,5,6,0,1,24,0
구로구,201910,0,5,0,0,5,0,0,1,4,1,1,7,0,0,16,0
구로구,201911,0,1,0,0,1,0,0,0,0,0,5,8,0,1,24,0
구로구,201912,4,4,0,0,2,0,0,1,0,0,2,4,0,0,16,1
구로구,202001,0,1,0,0,2,0,0,0,2,0,2,3,0,0,9,0
구로구,202002,2,5,0,1,2,0,0,0,1,2,2,2,0,0,9,1
구로구,202003,2,2,0,0,1,0,0,0,2,0,3,4,0,1,12,0
구로구,202004,1,3,0,0,5,0,0,0,1,0,2,7,0,0,18,0
구로구,202005,0,0,0,0,0,0,0,1,1,0,1,5,0,0,6,0
구로구,202006,0,5,0,0,1,0,0,0,1,0,2,4,0,0,8,0
구로구,202007,1,4,0,0,10,1,0,2,0,2,4,9,0,1,28,2
구로구,202008,1,4,0,1,5,0,0,1,1,0,2,7,0,0,14,0
구로구,202009,1,4,0,0,1,0,0,0,2,0,2,3,0,0,13,0
구로구,202010,1,6,0,1,2,0,0,1,0,1,3,5,0,0,15,0
구로구,202011,2,2,0,0,4,0,0,0,1,0,1,10,0,0,19,1
