,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
53,강동구,202010,0.0,2.205882353,12.5,6.25,2.272727273,0.0,0.0,0.0,2.941176471,9.523809524,0.0,0.699300699,0.0,0.0,4.47761194,9.090909091
54,강동구,202011,2.857142857,2.941176471,0.0,0.0,5.681818182,0.0,0.0,0.0,0.0,4.761904762,3.125,2.797202797,0.0,0.0,3.544776119,0.0
55,강동구,202012,2.857142857,2.205882353,0.0,6.25,3.409090909,0.0,0.0,0.0,0.0,0.0,9.375,4.195804196,0.0,0.0,2.425373134,0.0
56,강동구,202101,8.571428571,1.470588235,0.0,12.5,0.0,11.11111111,11.11111111,0.0,5.882352941,0.0,0.0,0.699300699,0.0,0.0,2.611940299,18.18181818
57,강동구,202102,0.0,2.205882353,0.0,0.0,2.272727273,0.0,0.0,0.0,0.0,0.0,6.25,2.097902098,0.0,0.0,2.798507463,0.0
58,강동구,202103,2.857142857,3.676470588,12.5,0.0,2.272727273,0.0,22.22222222,0.0,0.0,4.761904762,0.0,4.195804196,0.0,0.0,3.544776119,0.0
59,강동구,202104,2.857142857,5.882352941,0.0,0.0,3.409090909,0.0,0.0,0.0,0.0,0.0,3.125,2.797202797,100.0,0.0,4.47761194,0.0
60,강동구,202105,11.42857143,2.941176471,0.0,0.0,6.818181818,0.0,11.11111111,0.0,5.882352941,4.761904762,3.125,6.993006993,0.0,0.0,3.358208955,0.0
61,강동구,202106,5.714285714,6.617647059,0.0,0.0,3.409090909,0.0,0.0,0.0,2.941176471,0.0,3.125,4.895104895,0.0,0.0,3.544776119,0.0
62,강동구,202107,2.857142857,2.205882353,0.0,12.5,3.409090909,0.0,0.0,0.0,0.0,4.761904762,3.125,4.195804196,0.0,14.28571429,3.731343284,0.0
63,강동구,202108,0.0,3.676470588,12.5,6.25,6.818181818,0.0,11.11111111,0.0,11.76470588,4.761904762,3.125,0.699300699,0.0,0.0,3.171641791,0.0
64,강동구,202109,2.857142857,3.676470588,0.0,0.0,1.136363636,0.0,0.0,20.0,5.882352941,0.0,6.25,2.797202797,0.0,0.0,2.985074627,0.0
65,강동구,202110,0.0,0.735294118,0.0,0.0,1.136363636,0.0,0.0,0.0,0.0,0.0,0.0,0.699300699,0.0,0.0,0.373134328,0.0
78,강북구,202002,0.0,1.226993865,0.0,3.333333333,2.53164557,0.0,0.0,0.0,5.882352941,0.0,0.0,3.614457831,0.0,0.0,0.731707317,0.0
79,강북구,202003,0.0,1.840490798,0.0,0.0,5.063291139,0.0,0.0,0.0,0.0,0.0,5.555555556,3.012048193,0.0,0.0,2.195121951,12.5
80,강북구,202004,0.0,3.680981595,0.0,13.33333333,1.265822785,0.0,0.0,0.0,0.0,3.703703704,5.555555556,3.012048193,0.0,0.0,1.219512195,0.0
81,강북구,202005,0.0,0.613496933,0.0,0.0,1.265822785,0.0,7.142857143,0.0,0.0,3.703703704,0.0,0.602409639,0.0,12.5,0.975609756,0.0
82,강북구,202006,0.0,4.294478528,0.0,3.333333333,2.53164557,0.0,0.0,0.0,2.941176471,0.0,0.0,0.0,0.0,0.0,2.43902439,0.0
83,강북구,202007,0.0,0.0,0.0,0.0,1.265822785,0.0,7.142857143,0.0,0.0,0.0,5.555555556,1.807228916,0.0,12.5,2.43902439,0.0
84,강북구,202008,0.0,3.067484663,0.0,3.333333333,3.797468354,25.0,7.142857143,0.0,2.941176471,3.703703704,0.0,1.204819277,0.0,12.5,1.707317073,0.0
85,강북구,202009,0.0,1.840490798,20.0,0.0,1.265822785,0.0,14.28571429,0.0,0.0,0.0,0.0,2.409638554,0.0,0.0,2.195121951,0.0
86,강북구,202010,0.0,4.294478528,0.0,0.0,2.53164557,0.0,0.0,0.0,0.0,0.0,0.0,0.602409639,0.0,0.0,2.43902439,0.0
87,강북구,202011,3.333333333,3.067484663,20.0,3.333333333,5.063291139,0.0,0.0,0.0,5.882352941,0.0,5.555555556,3.012048193,0.0,12.5,3.170731707,0.0
88,강북구,202012,10.0,5.521472393,0.0,0.0,2.53164557,12.5,0.0,0.0,0.0,3.703703704,0.0,3.614457831,0.0,0.0,2.926829268,0.0
